[INFO] [1767274911.368938124] [motion_compensation]: Data aligned! Start processing data...
[INFO] [1767274911.966296906] [motion_compensation]: time_image stats: max_time=0.010717 nonzero=2064 trigger=2064 max_count=20
[INFO] [1767274911.987320978] [motion_compensation]: event timestamps: min=1766148911500561000 max=1766148911510549000 flat=false events=1685
[INFO] [1767274911.989449752] [motion_compensation]: time_image stats: max_time=0.010653 nonzero=1631 trigger=1632 max_count=20
[INFO] [1767274912.004205493] [motion_compensation]: event timestamps: min=1766148911520559000 max=1766148911530548000 flat=false events=907
[INFO] [1767274912.005795795] [motion_compensation]: time_image stats: max_time=0.010531 nonzero=860 trigger=861 max_count=20
[INFO] [1767274912.038536728] [motion_compensation]: event timestamps: min=1766148911540561000 max=1766148911550443000 flat=false events=557
[INFO] [1767274912.041646038] [motion_compensation]: time_image stats: max_time=0.010608 nonzero=513 trigger=514 max_count=20
[INFO] [1767274912.081118055] [motion_compensation]: event timestamps: min=1766148911570564000 max=1766148911580543000 flat=false events=1233
[INFO] [1767274912.082900761] [motion_compensation]: time_image stats: max_time=0.011040 nonzero=1179 trigger=1180 max_count=20
[INFO] [1767274912.101233081] [motion_compensation]: event timestamps: min=1153218000 max=1160336000 flat=false events=11
[INFO] [1767274912.102343949] [motion_compensation]: time_image stats: max_time=0.007118 nonzero=8 trigger=9 max_count=2
[INFO] [1767274912.119224682] [motion_compensation]: event timestamps: min=1173693000 max=1181841000 flat=false events=8
[INFO] [1767274912.120387371] [motion_compensation]: time_image stats: max_time=0.008148 nonzero=5 trigger=6 max_count=3
[INFO] [1767274912.143289896] [motion_compensation]: event timestamps: min=1192792000 max=1202643000 flat=false events=11
[INFO] [1767274912.144397672] [motion_compensation]: time_image stats: max_time=0.009851 nonzero=9 trigger=10 max_count=2
[INFO] [1767274912.171511138] [motion_compensation]: event timestamps: min=1222811000 max=1232736000 flat=false events=15
[INFO] [1767274912.173672529] [motion_compensation]: time_image stats: max_time=0.009925 nonzero=11 trigger=12 max_count=3
[INFO] [1767274912.195531480] [motion_compensation]: event timestamps: min=1252843000 max=1262164000 flat=false events=16
[INFO] [1767274912.197904838] [motion_compensation]: time_image stats: max_time=0.007405 nonzero=9 trigger=10 max_count=3
[INFO] [1767274912.219259033] [motion_compensation]: event timestamps: min=1766148911730558000 max=1766148911740537000 flat=false events=905
[INFO] [1767274912.221524072] [motion_compensation]: time_image stats: max_time=0.010590 nonzero=853 trigger=854 max_count=20
[INFO] [1767274912.235727462] [motion_compensation]: event timestamps: min=1293074000 max=1300677000 flat=false events=8
[INFO] [1767274912.236820882] [motion_compensation]: time_image stats: max_time=0.006435 nonzero=4 trigger=5 max_count=3
[INFO] [1767274912.251858485] [motion_compensation]: event timestamps: min=1304319000 max=1311639000 flat=false events=14
[INFO] [1767274912.252969124] [motion_compensation]: time_image stats: max_time=0.006335 nonzero=10 trigger=11 max_count=3
[INFO] [1767274912.265657714] [motion_compensation]: event timestamps: min=1766148911780563000 max=1766148911790551000 flat=false events=721
[INFO] [1767274912.267286038] [motion_compensation]: time_image stats: max_time=0.010533 nonzero=675 trigger=676 max_count=20
[INFO] [1767274912.280792171] [motion_compensation]: event timestamps: min=1333305000 max=1342582000 flat=false events=9
[INFO] [1767274912.281905099] [motion_compensation]: time_image stats: max_time=0.009277 nonzero=8 trigger=9 max_count=1
[INFO] [1767274912.297032166] [motion_compensation]: event timestamps: min=1352926000 max=1362758000 flat=false events=18
[INFO] [1767274912.298117056] [motion_compensation]: time_image stats: max_time=0.009832 nonzero=12 trigger=13 max_count=4
[INFO] [1767274912.314093054] [motion_compensation]: event timestamps: min=1363965000 max=1372116000 flat=false events=5
[INFO] [1767274912.315725658] [motion_compensation]: time_image stats: max_time=0.008151 nonzero=4 trigger=5 max_count=1
[INFO] [1767274912.331579910] [motion_compensation]: event timestamps: min=1382889000 max=1392157000 flat=false events=15
[INFO] [1767274912.332708708] [motion_compensation]: time_image stats: max_time=0.009149 nonzero=11 trigger=12 max_count=2
[INFO] [1767274912.347475256] [motion_compensation]: event timestamps: min=1403595000 max=1410033000 flat=false events=10
[INFO] [1767274912.348641296] [motion_compensation]: time_image stats: max_time=0.006438 nonzero=9 trigger=10 max_count=1
[INFO] [1767274912.363734343] [motion_compensation]: event timestamps: min=1413392000 max=1420296000 flat=false events=11
[INFO] [1767274912.364820714] [motion_compensation]: time_image stats: max_time=0.006904 nonzero=9 trigger=10 max_count=2
[INFO] [1767274912.376946516] [motion_compensation]: event timestamps: min=1434115000 max=1442733000 flat=false events=19
[INFO] [1767274912.378167121] [motion_compensation]: time_image stats: max_time=0.008618 nonzero=16 trigger=17 max_count=3
[INFO] [1767274912.391074983] [motion_compensation]: event timestamps: min=1443061000 max=1452471000 flat=false events=11
