[INFO] [1767274810.428727067] [motion_compensation]: Data aligned! Start processing data...
[INFO] [1767274810.430486083] [motion_compensation]: event timestamps: min=1043557000 max=1052730000 flat=false events=13
[INFO] [1767274810.431034190] [motion_compensation]: time_image stats: max_time=0.008212 nonzero=11 trigger=12 max_count=2
[INFO] [1767274810.438807153] [motion_compensation]: event timestamps: min=1064341000 max=1070864000 flat=false events=10
[INFO] [1767274810.439685028] [motion_compensation]: time_image stats: max_time=0.006079 nonzero=7 trigger=8 max_count=2
[INFO] [1767274810.454817190] [motion_compensation]: event timestamps: min=1082775000 max=1092434000 flat=false events=13
[INFO] [1767274810.455942069] [motion_compensation]: time_image stats: max_time=0.009329 nonzero=8 trigger=9 max_count=4
[INFO] [1767274810.473578154] [motion_compensation]: event timestamps: min=1103773000 max=1112170000 flat=false events=14
[INFO] [1767274810.474717139] [motion_compensation]: time_image stats: max_time=0.008397 nonzero=10 trigger=11 max_count=3
[INFO] [1767274810.494083384] [motion_compensation]: event timestamps: min=1122905000 max=1131648000 flat=false events=12
[INFO] [1767274810.495298146] [motion_compensation]: time_image stats: max_time=0.008743 nonzero=11 trigger=12 max_count=1
[INFO] [1767274810.514142888] [motion_compensation]: event timestamps: min=1143480000 max=1151266000 flat=false events=10
[INFO] [1767274810.516028148] [motion_compensation]: time_image stats: max_time=0.007786 nonzero=9 trigger=10 max_count=1
[INFO] [1767274810.529118121] [motion_compensation]: event timestamps: min=1163415000 max=1172477000 flat=false events=6
[INFO] [1767274810.530202625] [motion_compensation]: time_image stats: max_time=0.009062 nonzero=4 trigger=5 max_count=2
[INFO] [1767274810.548895409] [motion_compensation]: event timestamps: min=1184891000 max=1191980000 flat=false events=9
[INFO] [1767274810.549925809] [motion_compensation]: time_image stats: max_time=0.007089 nonzero=8 trigger=9 max_count=1
[INFO] [1767274810.560570593] [motion_compensation]: event timestamps: min=1192792000 max=1202643000 flat=false events=11
[INFO] [1767274810.561507820] [motion_compensation]: time_image stats: max_time=0.009851 nonzero=9 trigger=10 max_count=2
[INFO] [1767274810.581310387] [motion_compensation]: event timestamps: min=1212851000 max=1222582000 flat=false events=25
[INFO] [1767274810.582179894] [motion_compensation]: time_image stats: max_time=0.008336 nonzero=20 trigger=21 max_count=3
[INFO] [1767274810.599294620] [motion_compensation]: event timestamps: min=1233526000 max=1242316000 flat=false events=18
[INFO] [1767274810.600121483] [motion_compensation]: time_image stats: max_time=0.006203 nonzero=13 trigger=14 max_count=3
[INFO] [1767274810.619716390] [motion_compensation]: event timestamps: min=1252843000 max=1262164000 flat=false events=16
[INFO] [1767274810.620852078] [motion_compensation]: time_image stats: max_time=0.007405 nonzero=9 trigger=10 max_count=3
[INFO] [1767274810.638825590] [motion_compensation]: event timestamps: min=1272980000 max=1282236000 flat=false events=9
[INFO] [1767274810.639614070] [motion_compensation]: time_image stats: max_time=0.006921 nonzero=5 trigger=6 max_count=3
[INFO] [1767274810.648724660] [motion_compensation]: event timestamps: min=1285423000 max=1291623000 flat=false events=12
[INFO] [1767274810.649552837] [motion_compensation]: time_image stats: max_time=0.005427 nonzero=9 trigger=10 max_count=3
[INFO] [1767274810.658469123] [motion_compensation]: event timestamps: min=1293074000 max=1300677000 flat=false events=8
[INFO] [1767274810.659295509] [motion_compensation]: time_image stats: max_time=0.006435 nonzero=4 trigger=5 max_count=3
[INFO] [1767274810.669135166] [motion_compensation]: event timestamps: min=1304319000 max=1311639000 flat=false events=14
[INFO] [1767274810.669679955] [motion_compensation]: time_image stats: max_time=0.006335 nonzero=10 trigger=11 max_count=3
[INFO] [1767274810.678988518] [motion_compensation]: event timestamps: min=1316568000 max=1322514000 flat=false events=10
[INFO] [1767274810.680144782] [motion_compensation]: time_image stats: max_time=0.005946 nonzero=8 trigger=9 max_count=2
[INFO] [1767274810.698600647] [motion_compensation]: event timestamps: min=1333305000 max=1342582000 flat=false events=9
[INFO] [1767274810.699520400] [motion_compensation]: time_image stats: max_time=0.009277 nonzero=8 trigger=9 max_count=1
[INFO] [1767274810.709265730] [motion_compensation]: event timestamps: min=1342871000 max=1352630000 flat=false events=20
[INFO] [1767274810.709868574] [motion_compensation]: time_image stats: max_time=0.009759 nonzero=14 trigger=15 max_count=4
[INFO] [1767274810.718805232] [motion_compensation]: event timestamps: min=1352926000 max=1362758000 flat=false events=18
[INFO] [1767274810.719482030] [motion_compensation]: time_image stats: max_time=0.009832 nonzero=12 trigger=13 max_count=4
[INFO] [1767274810.728522557] [motion_compensation]: event timestamps: min=1363965000 max=1372116000 flat=false events=5
[INFO] [1767274810.729256012] [motion_compensation]: time_image stats: max_time=0.008151 nonzero=4 trigger=5 max_count=1
[INFO] [1767274810.738154579] [motion_compensation]: event timestamps: min=1373333000 max=1381511000 flat=false events=11
[INFO] [1767274810.738663809] [motion_compensation]: time_image stats: max_time=0.007957 nonzero=8 trigger=9 max_count=2
[INFO] [1767274810.749626163] [motion_compensation]: event timestamps: min=1382889000 max=1392157000 flat=false events=15
[INFO] [1767274810.750537699] [motion_compensation]: time_image stats: max_time=0.009149 nonzero=11 trigger=12 max_count=2
[INFO] [1767274810.768848951] [motion_compensation]: event timestamps: min=1403595000 max=1410033000 flat=false events=10
[INFO] [1767274810.769757373] [motion_compensation]: time_image stats: max_time=0.006438 nonzero=9 trigger=10 max_count=1
[INFO] [1767274810.778349550] [motion_compensation]: event timestamps: min=1413392000 max=1420296000 flat=false events=11
[INFO] [1767274810.778980851] [motion_compensation]: time_image stats: max_time=0.006904 nonzero=9 trigger=10 max_count=2
[INFO] [1767274810.788902148] [motion_compensation]: event timestamps: min=1423384000 max=1432335000 flat=false events=13
